date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
12/22/2014,442267.4948,2777,9465580,1.91,98570,3148,3.48645756
12/23/2014,411474.5055,1360,9456910,1.92,41369,3189,1.83844704
12/24/2014,150746.7176,1330,9532850,1.93,121397,3016,1.35034
12/25/2014,522749.1999,1250,9570580,1.8,67416,3102,2.03204522
12/26/2014,221045.1539,1000,9051380,2.03,81565,3059,1.57854107
12/27/2014,189839.7051,1064,10096700,1.95,44232,3106,1.72064654
12/28/2014,111526.6103,1088,9697080,1.95,32002,2892,1.39738888
12/29/2014,138082.6919,1058,9731420,1.91,51742,3005,1.84823739
12/30/2014,148835.336,1709,9570430,1.89,42981,3035,1.94114342
12/31/2014,176370.5502,2906,9455910,1.97,52644,2976,3.18321548
1/1/2015,296577.9229,4766,9860760,1.94,14957,3127.999999,5.14220018
1/2/2015,67817.70584,1513,9710140,1.94,33549,2962,1.49297232
1/3/2015,98025.46505,2299,9706160,1.72,62136,3109,2.60419045
1/4/2015,99945.36619,1259,8596550,1.63,60683,2984,1.55845034
1/5/2015,207708.0206,2193,8171360,1.67,43764,2932,2.28540005
1/6/2015,844828.5024,1302,8386380,1.72,31130,2975,1.48762419
1/7/2015,265441.463,1534,8606930,1.72,28206,3032,1.53240002
1/8/2015,171412.2097,2334,8594610,1.72,38890,3127,2.5716601
1/9/2015,214204.3187,1526,8616520,1.71,45656,3059,1.70276012
1/10/2015,247662.3494,1953,8665460,1.66,65124,2964,2.45945318
1/11/2015,279862.245,2632,8331940,1.64,43774,3317,3.10216128
1/12/2015,2924134.379,1976,8232030,1.66,46532,3459,3.94013385
1/13/2015,189225.5653,1421,8343790,1.35,77956,3183,2.58334159
1/14/2015,118852.5334,1283,6754020,1.08,41255,3234,1.64101791
1/15/2015,88806.49803,1325,5421460,1.29,31672,3088,4.54853669
1/16/2015,148730.3811,1464,6493510,1.28,67351,2966,3.71793735
1/17/2015,322301.2246,1391,6428910,1.22,29037,2964,10.61636501
1/18/2015,362005.9154,1469,6179800,1.31,43795,2973.741495,6.47940017
1/19/2015,257783.9677,1714,6640150,1.37,53757,2893.59162,5.88618734
1/20/2015,570605.1224,1706,6855510,1.43,68855,2916.562735,6.00144008
1/21/2015,326731.7885,2260,7212260,1.6,108223,2955.30368,9.74633619
1/22/2015,296121.9937,2049,8084380,1.63,73737,3029.484285,4.34223122
1/23/2015,254480.4341,1317,8246490,1.59,70270,3253.55,6.7818106
1/24/2015,216679.5071,1720,8120840,1.74,51767,2829,2.4184782
1/25/2015,337094.928,2166,8801230,1.81,60453,2818.243245,6.0202201
1/26/2015,281809.5522,1563,9158080,1.88,110222,2770,2.88788423
1/27/2015,197232.9649,2013,9507040,1.82,73397,2824.2479,3.76422505
1/28/2015,194146.2723,1818,9238150,1.65,67481,2779.69643,2.74536646
1/29/2015,293216.1611,1977,8338510,1.64,67225,2680.785718,2.955704
1/30/2015,249711.9214,1854,8332160,1.64,53994,2885.071432,3.67374919
1/31/2015,120051.052,1673,8341480,1.61,33035,2742.071432,2.06456524
2/1/2015,308915.1513,1669,8174880,1.88,296157,2753.21429,5.43435468
2/2/2015,340206.1838,1833,9552660,1.93,154511,2849.785718,5.98337427
2/3/2015,245784.5302,1408,9820270,1.79,62006,2637.142861,2.24883236
2/4/2015,202348.8604,1415,9079530,1.83,58636,2623.214289,2.07271269
2/5/2015,154600.1969,1383,9349800,1.77,49522,2644.571433,3.19215288
2/6/2015,177183.8559,1348,9042210,1.79,40361,2673.357147,1.80717749
2/7/2015,198444.9627,1237,9163350,1.86,30169,2628.785718,2.74514024
2/8/2015,121262.9168,1296,9481190,1.84,44831,2680.785718,1.83643108
2/9/2015,263048.2671,1483,9392880,2.17,270445,2652.928575,1.53275985
2/10/2015,667473.9246,2007,11049300,2.49,238651,2679.857147,4.73685169
2/11/2015,1578208.858,2232,12679100,3.23,774898,2625.071433,6.18616594
2/12/2015,1229465.381,2815,16383400,2.81,549894,2619.500004,17.81198864
2/13/2015,761345.6821,2037,14443300,2.92,228439,2684.500004,10.58657047
2/14/2015,627735.9972,1608,14945200,2.88,208369,2633.428575,6.64290679
